Index,Real,GRU,GWO-LSTM,LSTM,SAES
23.0,1234.1,1528.945695117396,1246.7453032457558,1236.3856027319862,1199.6212119563595
24.0,1520.65,1278.8458924529682,1505.7932626489442,1289.332767302582,1210.1968525737157
25.0,1887.45,1292.9949596110769,1357.1650241469908,1185.626995148341,1254.8233684369816
26.0,1303.5,1249.0165031596491,1467.6513818035571,1235.6198042497217,1217.3006793957873
27.0,1498.2,1227.876933999719,1504.6450083101795,1659.2988141937583,1610.6798174479852
28.0,1718.65,1205.6883298916418,1301.807607797453,1252.1683031127363,1275.3487924096537
29.0,1293.8999999999999,1409.2148663291648,1373.3979146153547,1258.5170604445225,1793.6153646194846
30.0,1281.65,1298.8681996629418,1372.2831701127116,1216.7649114770754,1250.409014700656
31.0,1737.3,1497.316797291115,1542.306239432052,1224.5782267381362,1297.3766693728842
32.0,1906.0,1269.9001924039924,1281.4658535551457,1656.1172367194645,1674.5699360917224
33.0,1307.7499999999998,1191.9223197106817,1247.3006961924614,1255.550602918332,1264.661321991479
34.0,1634.8,1317.3316080593834,1284.7058942530928,1300.5506566770534,1293.7744270212863
35.0,1353.7,1725.0443145370389,1460.913107022062,1180.057308452349,1448.7802545213844
36.0,1812.6499999999999,1239.6530491033825,1240.428046065398,1276.7750886583358,1767.6180683632983
37.0,1265.55,1213.2565544897857,1551.077452219077,1436.7222361892168,1650.080100508491
38.0,1734.9999999999998,1273.5459425116169,1277.74358462402,1830.665123906639,1358.343481762723
39.0,1303.0,1207.5405859677292,1499.2205237546907,1265.6638238466014,1289.7864221265088
40.0,1297.2499999999998,1285.9262461345377,1524.318786422107,1251.6195635555798,1378.475041759616
41.0,1275.85,1554.8058702970427,1522.5073842719091,1679.268541304565,1446.3229949256047
42.0,1327.7,1275.0150326691828,1285.5078794938574,1284.9198829142845,1671.3167093519355
43.0,1294.8,1674.9493160182003,1273.2836698092224,1288.1991463377783,1255.0131757573963
44.0,1388.6500000000003,1449.1773697502008,1245.5056228335052,1271.5675786269808,291.4823690288936
45.0,1943.2,1505.3445053193957,1418.6539633689154,1446.3300294244057,1714.8342006391035
46.0,1687.05,1779.744276460539,1272.9088368286984,1745.577739098065,1275.462322146179
47.0,1261.05,1324.1381942425428,1273.4584518979414,1370.757450221564,1311.8468202637496
48.0,1352.4000000000003,1277.8196968892682,1446.350920078504,1219.0333964649865,1469.7181735961822
49.0,1298.65,1274.8867663735057,1234.2262964984031,1305.594728390485,1269.4975642558102
50.0,1298.8,1381.1855951869393,1541.5945498481476,1681.5074253438838,1279.5913280995144
51.0,1479.15,1738.8610205026207,1264.8890831697322,1785.1572705058663,1243.030118321043
52.0,1305.35,1661.1627344818048,1294.976368075526,1365.2830948906435,1163.850884362034
53.0,1580.8,1777.4364673288223,1467.1268165565232,1254.00811082082,1672.507234902379
54.0,1250.45,1203.3759097451778,1237.4121592021193,1413.085734293495,1206.410940533387
55.0,1281.2,1487.4080225952637,1533.0082430429443,1645.2282194381596,1278.3513332750963
56.0,1276.45,1626.5306355784328,1533.0794325234087,1295.8085839512962,1481.4257013119045
57.0,1254.6,307.2236680373777,1224.4180802135595,1618.428432455656,1285.1757769845378
58.0,1409.0,1754.5485160527655,1559.2075914393606,1482.638741059127,1252.2629484701145
59.0,1738.85,1682.3899001220543,1328.8443825798504,1240.1138793217622,1623.1157582626142
60.0,1331.2,313.09878925341627,1368.6487707062956,1257.672654074101,1317.552366364852
61.0,1221.2,1764.455818864438,1304.5904297186794,1262.547555872081,1713.4568998603609
62.0,1462.9,1531.5417187808353,1258.3465217789187,1431.366354444053,1286.320777320619
63.0,1278.3,1232.9992134132906,1357.859383182425,1315.3465711753256,1278.2891670358752
64.0,1273.75,1247.984822539745,1253.6670680622597,1286.859919994967,1310.6935193817071
65.0,1334.15,1301.306264712983,1223.6216722950865,1677.690122374438,1609.1397756851802
66.0,1931.9,1300.5201296767154,1462.6767966267266,1247.8562344031664,1285.0453266542906
67.0,1683.45,1285.955309561182,1270.0535429888378,1284.3456493866674,1185.7120916675358
68.0,1522.1,1360.377666484902,1562.35633867027,1386.827612415854,1329.005749904919
69.0,1495.75,1261.2937376056211,1632.0190336035976,1285.395482731111,1427.0701555360895
70.0,1322.75,1251.385498984728,1547.9102886996438,1584.8431516561432,1259.879923936948
71.0,1228.25,1306.8994379117323,1305.268147244757,1300.43607143149,1247.3958778217657
72.0,1226.75,1229.523319638558,1334.8325623326295,1491.7555062944325,1748.0330130639206
73.0,1875.7,1599.336834338185,1265.5405263568878,1231.7655846517305,1231.2691666987903
74.0,1260.3,1323.607933130859,1278.530505578757,1251.2476321948748,1301.5820973199998
75.0,1811.45,1557.3565283748128,1498.8903767385646,1681.014377978195,1583.424243112681
76.0,1280.2,1482.5608602851646,1278.8889405265463,1779.713788822369,1259.9222980720572
77.0,1320.6,1316.4475631114312,1576.1449835244066,1285.4812102513583,1727.0905032537491
