Index,Real,ARIMA,GRU,GWO-LSTM,LSTM,SAES
76.0,503.42221,529.2926198227609,569.0655933531413,521.7579879327552,597.1310333914369,546.9568292613787
77.0,524.28877,503.8340666653493,437.3006120733026,499.5437719190915,633.1530361372692,582.4103967733607
78.0,522.05945,485.7393105334216,479.79825086478814,520.4744532915186,415.4480199333544,412.0376895805047
79.0,550.83138,598.0926453251141,476.83468065273433,577.6899578739882,644.5215866511874,500.8859992929621
80.0,548.37918,497.1885205100673,598.8947422254437,570.9177246971831,616.3412192526434,633.0664654371041
81.0,572.04862,535.1335080385788,499.24108469626833,557.4369805616498,690.6431634826923,620.890351965046
82.0,636.9426900000001,579.855207612873,508.5533271439905,623.969976235843,579.9575703240112,548.4345587562269
83.0,611.85036,680.3681016094533,477.2768651025056,593.5697380109723,663.5354694967479,556.7818468117625
84.0,607.9219,681.4797916094333,709.8426689799642,562.2467162994124,676.6001745197398,711.9553789088336
85.0,627.5416299999999,732.5873206683129,694.3641890764173,633.0959692073882,675.632281314771,692.2540073749761
86.0,649.72681,552.1535550361326,739.5925495711375,667.4300757720845,716.0275288730851,760.2241391617218
87.0,666.27002,750.529982225115,546.2919259060197,694.1471299452096,725.5726771304699,810.7442036497309
88.0,673.45064,592.8250443349361,564.3763548945055,717.5500560446561,787.3878147117837,797.6915659404441
89.0,683.03379,815.0434789906035,738.1540434808644,654.5708255469266,573.5820775258225,773.1843328553347
90.0,664.4891100000001,735.6917901710467,738.7229132424814,651.610833531083,529.8490097839748,513.4405550976101
91.0,650.74699,764.7482987634146,742.1197157498854,613.4075207079457,542.8313436904955,738.2032737525499
92.0,657.18231,777.8748898687495,714.5694634226148,606.4005858883772,806.9799671920018,541.3310354702597
93.0,657.19002,579.1400411329905,708.8149057340553,692.1225635844145,591.0154096360845,522.6580757269362
94.0,640.66794,731.1083466560582,720.146796807492,625.9300044854758,540.2610206802856,591.1226182417377
95.0,629.5339300000002,718.7282067580393,566.3315426695658,674.1948039842521,715.371653314291,490.9185348525424
96.0,621.37116,518.1001349841412,545.8286982603277,618.4915533521273,517.4961522963058,741.0843259240874
97.0,604.9282499999999,540.936146125168,662.5429121623814,625.25940143462,509.6934226345525,497.5350987554763
98.0,629.52225,519.8944882918736,536.9071800461717,655.1197162014591,742.0018973981919,686.541088964186
99.0,685.32209,577.4036935004589,555.2862710145018,647.5128128684431,597.5532944888091,567.3933886076719
100.0,699.4097,583.7605151538107,787.1861319971268,740.2495505174514,604.9148098815565,577.2831262064469
101.0,689.22967,794.634252105534,788.1145969554648,638.5542609655752,775.4272538460937,628.2621342319734
102.0,687.2456,580.5291879892884,546.5909189689994,655.7854314288593,789.3860961827639,604.2960373720309
103.0,685.39768,818.2481467798873,784.0638971947302,704.4241910170659,631.6243829371792,549.8282839674198
104.0,687.1045,793.6788731602558,821.4062146674221,653.5036662620821,617.6412833450988,580.8170596261618
