Time,Value
734,1821.31
735,1875.22
736,1874.37
737,1876.75
738,1885.02
739,1851.97
740,1842.35
741,1841.57
742,1845.68
743,1804.4
744,1806.05
745,1794.21
746,1809.27
747,1819.51
748,1820.99
749,1829.4
750,1871.68
751,1886.44
752,1906.49
753,1935.19
754,1933.39
755,1933.34
756,1933.8
757,1945.38
758,1959.02
759,1961.42
760,1970.2
761,1971.83
762,1977.84
763,1974.16
764,1913.68
765,1815.3
766,1794.12
767,1782.57
768,1777.94
769,1769.31
770,1783.28
771,1823.52
772,1931.88
773,1981.3
774,2029.06
775,2009.42
776,2011.16
777,2006.22
778,2020.68
779,1998.91
780,2001.28
781,1975.23
782,1981.43
783,1984.94
784,1965.25
785,1899.97
786,1860.97
787,1829.98
788,1798.86
789,1793.41
790,1790.32
791,1851.07
792,1877.46
793,1884.73
794,1908.07
795,1920.93
796,1920.14
797,1936.26
798,1955.59
799,1945.06
800,1918.39
801,1877.75
802,1857.15
803,1817.01
804,1752.9
805,1664.05
806,1593.31
807,1532.14
808,1492.05
809,1427.28
810,1373.64
811,1320.54
812,1286.66
813,1251.73
814,1220.71
815,1188.36
816,1177.21
817,1175.99
818,1186.88
819,1190.73
820,1188.78
821,1179.44
822,1187.43
823,1208.43
824,1222.8
825,1216.69
826,1212.08
827,1204.65
828,1223.31
829,1220.01
830,1212.47
831,1221.13
832,1227.92
833,1239.22
834,1269.03
835,1270.58
836,1289.06
837,1296.51
838,1299.49
839,1314.59
840,1342.24
841,1354.43
842,1380.89
843,1385.24
844,1389.88
845,1397.05
846,1402.82
847,1393.02
848,1363.4
849,1341.86
850,1342.76
851,1333.66
852,1318.86
853,1301.77
854,1291.2
855,1311.55
856,1299.12
857,1313.3
858,1350.78
859,1390.68
860,1422.17
861,1462.58
862,1482.48
863,1520.56
864,1560.42
865,1574.01
866,1589.94
867,1609.47
868,1633.16
869,1668.74
870,1689.42
871,1680.24
872,1649.52
873,1629.14
874,1628.97
875,1606.05
876,1574.25
877,1570.44
878,1572.08
879,1616.63
880,1646.2
881,1670.94
882,1699.78
883,1740.87
884,1737.29
885,1750.45
886,1761.47
887,1761.82
888,1739.74
889,1727
890,1726.64
891,1757.49
892,1775.18
893,1766.21
894,1764.73
895,1785.01
896,1798.28
897,1787.45
898,1781.05
899,1786.17
900,1788.56
901,1791.07
902,1769.5
903,1770.26
904,1780.41
905,1792.63
906,1792.33
907,1780.65
908,1769.96
909,1780.04
910,1809.15
911,1819.43
912,1808.61
913,1813.3
914,1835.13
915,1874.92
916,1880.72
917,1855.6
918,1871.99
919,1901.28
920,1913.61
921,1925.7
922,1904.84
923,1905.66
924,1896.21
925,1869.25
926,1850.85
927,1838.05
928,1813.99
929,1804.77
930,1800.2
931,1796.08
932,1804.61
933,1807.03
934,1837.22
935,1855.93
936,1876.29
937,1894.42
938,1925.48
939,1935.12
940,1953.58
941,1941.29
942,1937.42
943,1918.27
944,1898.54
945,1880.43
946,1871.89
947,1866.99
948,1871.58
949,1880.25
950,1892.19
951,1902.65
952,1910.05
953,1927.24
954,1936.81
955,1952.27
956,1961.18
957,1979.48
958,2002.3
959,2014.1
960,2021.78
961,2027.64
962,1993.05
963,1954.91
964,1914.27
965,1882.35
966,1852.84
967,1822
968,1774.69
969,1773.87
970,1777.4
971,1781.11
972,1782.33
973,1798.15
974,1803.93
975,1834.12
976,1828.95
977,1823.19
978,1842.93
979,1855.01
980,1841.73
981,1850.27
982,1848.86
983,1851.32
984,1865.98
985,1859.45
986,1861.31
987,1867.94
988,1874.92
989,1886.55
990,1881.1
991,1855.53
992,1834.1
993,1812.8
994,1801.54
995,1781.97
996,1770.85
997,1780
998,1786.64
999,1790.07
1000,1791.49
1001,1805.92
1002,1793.48
1003,1787.09
1004,1791.19
1005,1796.49
1006,1807.72
1007,1820.75
1008,1809.48
1009,1826.2
1010,1828.15
1011,1824.52
1012,1851.17
1013,1850.77
1014,1850.9
1015,1844.8
1016,1833.56
1017,1807.4
1018,1797.8
1019,1787.46
1020,1791.89
1021,1782.94
1022,1792.9
1023,1805.43
1024,1833.58
1025,1829.24
1026,1822.76
1027,1821.02
1028,1829.43
1029,1838.59
1030,1846.12
1031,1844.93
1032,1835.9
1033,1815.04
1034,1760.55
1035,1704.92
1036,1664.41
1037,1633.77
1038,1613.97
1039,1601.7
1040,1600.4
1041,1630.02
1042,1653.82
1043,1652.81
1044,1631.48
1045,1610.43
1046,1627.71
1047,1617.7
1048,1603.13
1049,1594.35
1050,1595.59
1051,1602.09
1052,1622.78
1053,1602.06
1054,1611.62
1055,1630.4
1056,1639.28
1057,1601.94
1058,1591.82
1059,1566.89
1060,1571.4
1061,1579.02
1062,1595.28
1063,1628.75
1064,1704.86
1065,1750.64
1066,1750.8
1067,1741.76
1068,1753.99
1069,1754.56
1070,1742.11
1071,1725.87
1072,1711.62
1073,1730.12
1074,1740.49
1075,1739.23
1076,1743.99
1077,1749.68
1078,1703.18
1079,1710.36
1080,1731.91
1081,1728.5
1082,1746.08
1083,1794.45
1084,1842.96
1085,1903.21
1086,1807.13
1087,1802.35
1088,1801.89
1089,1761.04
1090,1686.69
1091,1616.95
1092,1577.36
1093,1618.89
1094,1532.63
1095,1527.53
1096,1521.46
1097,1508.21
1098,1503.75
1099,1512.36
1100,1545.25
1101,1625.74
1102,1626.66
1103,1621.28
1104,1616.17
1105,1608.56
1106,1595.56
1107,1600.98
1108,1575.79
1109,1600.26
1110,1660.65
1111,1654.91
1112,1643.94
1113,1651.07
1114,1653.13
1115,1687.81
1116,1680.58
1117,1630.58
1118,1650.87
1119,1653.74
1120,1645.74
1121,1624.48
1122,1615.47
1123,1633.44
1124,1640.98
1125,1549.57
1126,1538.8
1127,1540.27
1128,1544.26
1129,1543.23
1130,1524.4
1131,1547.8
1132,1648.71
1133,1686.36
1134,1724.03
1135,1753.72
1136,1751.88
1137,1777.9
1138,1812.18
1139,1782.68
1140,1816.65
1141,1858.56
1142,1862.44
1143,1871.02
1144,1892.9
1145,1851.3
1146,1898.59
1147,1886.82
1148,1841.65
1149,1860.76
1150,1840.34
1151,1833.84
1152,1839.73
1153,1823.77
1154,1807.41
1155,1799.68
1156,1767.52
1157,1781.15
1158,1771.96
1159,1749.88
1160,1756.58
1161,1758.05
1162,1745.28
1163,1760.74
1164,1760.09
1165,1761.53
1166,1752.87
1167,1765.33
1168,1758.32
1169,1767.1
1170,1750.92
1171,1755.14
1172,1743.48
1173,1778.12
1174,1793.35
1175,1804.05
1176,1822.31
1177,1817.83
1178,1827.81
1179,1809.56
1180,1786.59
1181,1766.09
1182,1753.49
1183,1706.35
1184,1678.6
1185,1661.17
1186,1621.03
1187,1609.23
1188,1563.91
1189,1568.61
1190,1579.23
1191,1606.54
1192,1630.37
1193,1671.67
1194,1677.44
1195,1706.28
1196,1693.76
1197,1703.91
1198,1704.95
1199,1684.12
1200,1697.42
1201,1738.11
1202,1766.38
1203,1803.02
1204,1791.92
1205,1794.06
1206,1789.01
1207,1765.74
1208,1722.34
1209,1681.12
1210,1640.82
1211,1640.31
1212,1625.61
1213,1645.14
1214,1666.59
1215,1673.8
1216,1685.88
1217,1694.89
1218,1716.6
1219,1742.85
1220,1730.04
1221,1732.49
1222,1733.33
1223,1740.91
1224,1743.67
1225,1743.32
1226,1745.3
1227,1750.27
1228,1736.84
1229,1742.73
1230,1724.39
1231,1725.46
1232,1722.29
1233,1713.91
1234,1717.08
1235,1713.73
1236,1722.66
1237,1752.75
1238,1753.18
1239,1773.17
1240,1775.76
1241,1759.88
1242,1764.64
1243,1749.72
1244,1762.76
1245,1779.97
1246,1781.14
1247,1806.84
1248,1844.96
1249,1884.01
1250,1916.54
1251,1916.18
1252,1925.29
1253,1917.87
1254,1916.23
1255,1914.98
1256,1907.75
1257,1894.06
1258,1886.7
1259,1884.56
1260,1890.85
1261,1890.81
1262,1897.7
1263,1898.67
1264,1916.59
1265,1915.51
1266,1912.98
1267,1918.45
1268,1926.44
1269,1927.33
1270,1927.89
1271,1921.93
1272,1935.23
1273,1961.76
1274,1957.58
1275,1939.6
1276,1952.56
1277,1959.52
1278,1982.51
1279,1958.65
1280,1940.13
1281,1952.18
1282,1974.95
1283,1968.38
1284,1963.37
1285,1931.31
1286,1951.5
1287,1935.6
1288,1914.26
1289,1903.09
1290,1890.33
1291,1878.74
1292,1875.59
1293,1877.33
1294,1885.97
1295,1861.49
1296,1858.7
1297,1858.39
1298,1861.53
1299,1863.86
1300,1855.67
1301,1840.14
1302,1864.76
1303,1870.48
1304,1872.84
1305,1887
1306,1901.54
1307,1911.16
1308,1948.64
1309,1952.7
1310,1975
1311,1990.83
1312,1991.81
1313,1995.12
1314,2009.08
1315,1999.52
1316,1985.63
1317,1980.01
1318,1983.19
1319,1981.04
1320,1982.24
1321,1968.17
1322,1960.6
1323,1998.79
1324,2000.3
1325,2000.94
1326,2007.74
1327,2010.43
1328,2010.96
1329,2005.22
1330,1960.29
1331,1944.35
1332,1916.64
1333,1902.62
1334,1876.08
1335,1876.08
1336,1868.37
1337,1876.43
1338,1843.32
1339,1856.34
1340,1866.6
1341,1862.98
1342,1846.65
1343,1848.57
1344,1839.25
1345,1851.03
1346,1839.68
1347,1820.35
1348,1819.9
1349,1813.98
1350,1821.18
1351,1841.21
1352,1847.74
1353,1851.85
1354,1846.11
1355,1843.87
1356,1839.91
1357,1816.51
1358,1799.13
1359,1800.53
1360,1779.02
1361,1759.84
1362,1756.06
1363,1753.13
1364,1749.32
1365,1749.65
1366,1734.94
1367,1728.85
1368,1741.04
1369,1744.7
1370,1741.39
1371,1743.82
1372,1762.04
1373,1766.29
1374,1776.79
1375,1785.82
1376,1805.21
1377,1816.33
1378,1839.25
1379,1842.3
1380,1833.65
1381,1849.67
1382,1854.91
1383,1851.49
1384,1849.46
1385,1850.23
1386,1843.14
1387,1866.4
1388,1864.33
1389,1863.51
1390,1874.46
1391,1890.37
1392,1878.34
1393,1869.99
1394,1866.75
1395,1870.24
1396,1868.93
1397,1857.16
1398,1853.02
1399,1862.53
1400,1870.68
1401,1872.43
1402,1868.46
1403,1858.63
1404,1846.4
1405,1836.41
1406,1829.18
1407,1826.63
1408,1822.36
1409,1816.75
1410,1825.69
1411,1842.6
1412,1851.91
1413,1860.55
1414,1859.08
1415,1856.62
1416,1860.51
1417,1853.31
1418,1846.78
1419,1844.31
1420,1851.5
1421,1869.52
1422,1856.88
1423,1852.28
1424,1872
1425,1882.52
1426,1884.02
1427,1867.03
1428,1852.21
1429,1851.66
1430,1848.12
1431,1832.31
1432,1818.17
1433,1819.27
1434,1829.39
1435,1825.08
1436,1834.96
1437,1840.43
1438,1834.91
1439,1834.45
1440,1834.15
1441,1841.3
1442,1858.24
1443,1874.12
1444,1882.88
1445,1902.28
1446,1910.74
1447,1924.88
1448,1925.16
1449,1922.97
1450,1901.75
1451,1902.26
1452,1908.85
1453,1913.54
1454,1900.86
1455,1900.48
1456,1906.28
1457,1903.47
1458,1898.84
1459,1915.28
1460,1873.59
1461,564.734
1462,570.553
1463,581.197
1464,594.007
1465,603.88
1466,609.524
1467,611.877
1468,612.144
1469,612.549
1470,612.883
1471,610.957
1472,608.844
1473,605.086
1474,604.95
1475,614.756
1476,619.576
1477,621.507
1478,629.894
1479,638.644
1480,644.943
1481,643.004
1482,639.38
1483,634.199
1484,629.936
1485,620.107
1486,614.127
1487,614.699
1488,619.14
1489,622.993
1490,630.714
1491,630.794
1492,636.316
1493,637.414
1494,640.016
1495,640.746
1496,642.141
1497,643.951
1498,646.366
1499,642.16
1500,635.677
1501,629.923
1502,628.27
1503,626.293
1504,621.784
1505,617.039
1506,620.564
1507,619.644
1508,617.434
1509,615.467
1510,608.096
1511,605.311
1512,604.627
1513,602.019
1514,605.196
1515,599.167
1516,596.316
1517,598.8
1518,599.267
1519,603.84
1520,594.21
1521,587.604
1522,586.43
1523,578.803
1524,570.789
1525,558.701
1526,553.227
1527,545.663
1528,550.759
1529,545.239
1530,536.464
1531,532.073
1532,539.03
1533,544.924
1534,549.407
1535,553.127
1536,549.753
1537,547.913
1538,551.866
1539,551.547
1540,546.353
1541,547.504
1542,535.263
1543,526.773
1544,527.189
1545,524.406
1546,517.48
1547,511.974
1548,504.833
1549,507.036
1550,518.591
1551,524.39
1552,525.09
1553,519.229
1554,520.386
1555,524.099
1556,526.477
1557,519.487
1558,515.826
1559,512.169
1560,514.636
1561,509.003
1562,505.446
1563,499.847
1564,497.111
1565,499.981
1566,497.25
1567,493.039
1568,495.683
1569,488.379
1570,483.804
1571,488.386
1572,482.944
1573,487.9
1574,491.851
1575,490.574
1576,491.15
1577,494.003
1578,494.196
1579,491.597
1580,486.99
1581,487.36
1582,487.909
1583,494.669
1584,499.349
1585,497.807
1586,503.679
1587,506.083
1588,506.309
1589,505.68
1590,499.409
1591,493.584
1592,494.997
1593,492.907
1594,492.956
1595,494.77
1596,495.716
1597,502.301
1598,505.996
1599,507.474
1600,515.033
1601,519.234
1602,518.494
1603,532.597
1604,552.371
1605,575.749
1606,601.729
1607,625.583
1608,633.187
1609,621.216
1610,600.996
1611,575.369
1612,550.29
1613,524.117
1614,499.951
1615,484.894
1616,488.227
1617,496.489
1618,500.197
1619,501.041
1620,495.434
1621,479.934
1622,474.644
1623,473.204
1624,465.38
1625,459.2
1626,460.706
1627,467.837
1628,484.987
1629,501.986
1630,520.901
1631,539.143
1632,556.229
1633,564.214
1634,564.41
1635,557.883
1636,554.907
1637,547.691
1638,537.491
1639,512.016
1640,491
1641,471.503
1642,455.889
1643,440.601
1644,427.299
1645,415.544
1646,421.953
