Index,Real,GRU,GWO-LSTM,LSTM,SAES
133.0,598.228,599.8388077793498,601.7316503723148,601.3783724114087,594.6210526822293
134.0,597.197,595.1168165946157,598.6278989749306,594.2822687308975,600.1233947564457
135.0,595.656,596.6453248902477,597.7398480240763,593.8447239695674,602.3643744280735
136.0,594.925,597.237818440236,593.9422382535807,590.4290173592947,592.3843483598916
137.0,595.142,597.5405556369236,597.2613893325872,597.005777693456,588.1278359138898
138.0,594.594,593.4500492759204,591.4489116623886,598.6111174021893,589.4257264491232
139.0,593.716,591.6802096420972,594.8220535446826,590.1293731277134,588.7697570724412
140.0,592.958,591.6762424805416,590.2257982489508,591.1328099932916,597.4911855240617
141.0,593.727,590.7837829296094,594.3087410672831,591.3910770785075,588.7655756451098
142.0,596.52,598.6818756945326,597.8412862766861,599.0532293584805,604.6078582409714
143.0,600.515,598.2385303031358,600.3671137667893,598.0590271095843,604.8852910507992
144.0,604.598,606.4124850400291,602.0026794437987,608.6752609150508,610.4891372622922
145.0,608.763,610.5434071552048,609.3337486619696,603.7601309138987,601.273586514437
146.0,611.911,612.8499300468778,612.7330754545303,609.2509707142825,602.9635498547592
147.0,614.962,617.2331751252376,611.9004618052472,610.6636335561029,620.327995442804
148.0,616.773,615.1263546840861,615.2443675899092,621.0642036468083,624.7850258911149
149.0,616.245,614.2988691121429,617.5106893279695,614.6222870658413,608.4943355918034
150.0,613.812,615.1152002717474,615.20420706863,611.2168877574431,616.6674409804356
151.0,610.907,612.9794118914127,609.7577458643584,614.9140745363138,604.4334045875065
152.0,608.601,610.6896036776185,607.1217134984239,613.7337626830313,603.9412184432952
153.0,606.685,604.2600487953549,609.5194817069457,608.7223155088525,599.6667165269878
154.0,604.571,602.8551996561476,603.7626298274628,609.7677188003013,609.5379125943276
155.0,604.518,606.7487876969559,606.7806317123418,600.0108598314796,609.6455572048909
156.0,609.223,607.6592470150536,613.3941130043987,615.5696344308903,614.8644030620414
157.0,617.381,619.4752365793881,614.9461987747634,613.885859266051,605.9542543173009
158.0,627.263,625.5867304471243,624.1427754094005,631.1380321595027,637.7179619180267
159.0,631.604,632.4244917314164,631.150676251287,628.9235309987627,641.6793901936355
160.0,634.578,633.2471466307373,637.0775915572939,629.5225729452507,628.3415722794956
161.0,636.8,634.9420171768296,633.4580860450554,632.4721776041042,641.11723982337
162.0,637.787,639.3672960270279,634.4323977797094,639.8879488752573,627.0782060883311
163.0,634.261,631.7299928070705,635.0508375965602,628.9623524212386,629.3431565736546
164.0,630.111,628.855725509289,628.43405305708,624.8230549936845,624.9104969197915
165.0,626.548,628.2466836113362,623.7284037659581,620.6113833747514,620.6081874278028
166.0,628.544,630.725085481289,631.9373936020849,633.8385709243012,624.9412661379531
167.0,628.92,630.9979615199198,625.5213491381218,626.2011983271334,620.9237346203656
168.0,632.156,628.3420067300501,629.9570575141812,639.7597821343871,628.4235153805772
169.0,635.26,633.4232307839935,638.3541554183225,640.5308338422939,623.7372721313914
170.0,638.911,641.1551434562689,642.4438967181889,631.7828575255863,633.6454964305192
171.0,643.086,644.481607915287,640.1056467480478,646.6191257734638,632.5314434568975
172.0,645.567,642.2631967734244,642.9124446169734,641.480709302226,637.6488598751357
173.0,646.523,650.3158554104849,645.929507000063,652.2306006412947,638.8554227482393
174.0,651.178,656.5434639397614,649.6957881698622,658.8418692580477,640.2219475912162
175.0,660.054,662.1117696946973,661.6039114533304,663.3953839307505,646.0628643548409
176.0,671.404,668.9742006752601,667.8649465874804,666.0156398414273,684.3513918756607
177.0,692.015,697.7749373475402,690.9848585281788,699.5648598297817,711.4239976449635
178.0,723.364,718.2631845573178,721.9314183551594,711.510957961873,734.7199098991188
179.0,747.805,745.4285867958861,746.4200976220627,738.9429419483085,730.9952691752703
180.0,771.531,773.4219306281885,771.9290686713787,756.2585257980354,754.2411905985998
181.0,784.56,785.7366123377243,778.1391089250459,769.8267661244732,799.9939458119982
182.0,781.62,781.8740625762368,789.0077387043938,771.3508877685274,788.7849404665976
183.0,778.751,776.5714622308852,784.425889423467,759.898188638789,787.5494871800353
184.0,787.782,781.9354085788478,792.0313198598055,798.8139574324777,772.3253614911168
185.0,789.132,791.9715974158108,779.5135572112384,777.3597781697916,806.7471734929628
